City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,minas de marcona,-15.2119,-75.1103,288.55,86,61,4.51,PE,1683682560
307,malpura,26.2833,75.3833,302.36,15,0,2.55,IN,1683682886
308,santa vitoria do palmar,-33.5189,-53.3681,285.23,76,20,2.24,BR,1683682844
309,tynda,55.1667,124.7167,283.61,38,4,0.73,RU,1683682886
310,kuta,-8.7233,115.1723,301.12,88,75,4.12,ID,1683682658
311,sivrice,38.4482,39.3084,277.71,93,0,2.06,TR,1683682887
312,afaahiti,-17.75,-149.2833,301.08,83,50,7.13,PF,1683682578
313,sejny,54.108,23.347,277.28,72,16,2.04,PL,1683682888
314,paita,-5.0892,-81.1144,298.33,76,0,6.52,PE,1683682568
315,lensk,60.7253,114.9278,279.45,94,100,2.3,RU,1683682888
316,taro,-8.3862,115.28,297.15,73,100,1.1,ID,1683682834
317,peterhead,57.5058,-1.7981,282.84,95,93,2.4,GB,1683682889
318,uturoa,-16.7333,-151.4333,300.65,75,49,4.53,PF,1683682725
319,yeongdong,36.175,127.7764,294.47,34,100,1.33,KR,1683682890
320,bardai,11.65,7.2333,300.14,18,55,3.36,NG,1683682890
321,lycksele,64.5954,18.6735,281.08,66,40,1.54,SE,1683682891
322,corinto,37.9407,22.9573,289.76,85,100,1.93,GR,1683682891
323,chato,-2.6378,31.7669,290.86,94,100,2.02,TZ,1683682892
324,ephraim,39.3597,-111.5863,287.51,39,99,2.23,US,1683682892
325,oberstdorf,47.4,10.2833,284.22,94,100,1.34,DE,1683682892
326,bengkulu,-3.8004,102.2655,301.2,68,30,0.61,ID,1683682708
327,papao,-17.75,-149.55,301.97,81,25,4.96,PF,1683682893
328,hagi,34.4,131.4167,294.2,39,100,2.16,JP,1683682893
329,bushehr,28.9684,50.8385,303.2,26,40,3.09,IR,1683682894
330,tura,25.5198,90.2201,302.61,42,1,3.09,IN,1683682894
331,vila velha,-20.3297,-40.2925,295.34,97,0,0.51,BR,1683682638
332,kuruman,-27.4524,23.4325,285.77,58,1,3.37,ZA,1683682895
333,manggar,-2.8833,108.2667,302.91,73,100,4.47,ID,1683682895
334,camayenne,9.535,-13.6878,301.2,78,75,3.09,GN,1683682630
335,thunder bay,48.4001,-89.3168,286.14,40,0,3.09,CA,1683682368
336,hammerfest,70.6634,23.6821,279.4,70,20,0.0,NO,1683682624
337,zelenoborskiy,66.845,32.3622,274.16,100,100,1.71,RU,1683682897
338,concepcion del oro,24.6333,-101.4167,295.53,10,100,1.39,MX,1683682897
339,novaya igirma,57.1334,103.9112,280.03,85,100,3.28,RU,1683682897
340,calhoun,42.2506,-85.0005,292.18,28,0,0.0,US,1683682898
341,ayorou,14.7308,0.9174,304.42,16,87,2.24,NE,1683682898
342,arar,30.9753,41.0381,294.16,35,0,2.57,SA,1683682898
343,galle,6.0367,80.217,300.88,80,85,3.87,LK,1683682754
344,waynesboro,38.0685,-78.8895,286.56,96,0,0.0,US,1683682899
345,tailai,46.3833,123.4,289.45,13,0,1.69,CN,1683682900
346,san pedro,14.35,121.0167,303.9,75,40,1.54,PH,1683682900
347,berdigestyakh,62.0989,126.6992,279.57,92,53,5.14,RU,1683682901
348,jamsa,61.8642,25.19,279.55,73,99,2.33,FI,1683682901
349,tanout,14.9709,8.8879,300.07,9,87,1.66,NE,1683682901
350,carnarvon,-24.8667,113.6333,294.3,82,100,1.92,AU,1683682607
351,san pedro pochutla,15.7333,-96.4667,302.43,73,9,3.41,MX,1683682794
352,igrim,63.1906,64.4162,277.17,90,100,3.45,RU,1683682902
353,kawambwa,-9.7915,29.0791,286.73,78,86,2.48,ZM,1683682903
354,embrun,44.5639,6.4953,283.85,95,99,2.52,FR,1683682903
355,ust-nera,64.5667,143.2,275.69,47,100,4.4,RU,1683682581
356,yinchuan,38.4681,106.2731,287.12,61,100,0.38,CN,1683682904
357,zemio,5.0314,25.1361,293.25,98,100,1.62,CF,1683682650
358,bukoba,-1.3317,31.8122,292.47,87,91,3.4,TZ,1683682905
359,waddan,29.1614,16.139,290.44,61,44,9.95,LY,1683682905
360,linhares,-19.3911,-40.0722,295.44,80,100,0.47,BR,1683682905
361,lys'va,58.1086,57.8053,277.04,55,1,0.96,RU,1683682906
362,mont-dore,-22.2833,166.5833,298.14,59,1,3.66,NC,1683682906
363,ust'-charyshskaya pristan',52.3934,83.6635,282.34,91,100,3.37,RU,1683682906
